Car Name,Variant,Fuel Mileage (km/l),Features
Suzuki Wagon R,1.3L,19.4,"AC, ABS, Touchscreen, Sunroof, Airbags, Rear Camera, Cruise Control, Seating Capacity: 7"
Proton Saga,Automatic,19.2,"ABS, Power Steering, Sunroof, Touchscreen, Cruise Control, Airbags, Alloy Rims, Seating Capacity: 4"
Kia Sportage,Oriel,14.7,"Power Steering, Touchscreen, Rear Camera, Power Windows, Airbags, Cruise Control, Seating Capacity: 7"
Suzuki Alto,Oriel,19.4,"Rear Camera, Touchscreen, AC, Airbags, Seating Capacity: 5"
Changan Alsvin,XLi,10.1,"Power Steering, Touchscreen, Power Windows, Airbags, Seating Capacity: 4"
Kia Sportage,1.5L,17.4,"Alloy Rims, AC, Cruise Control, ABS, Airbags, Seating Capacity: 7"
Toyota Corolla,Oriel,11.6,"Airbags, Rear Camera, Alloy Rims, Sunroof, Power Windows, Power Steering, Seating Capacity: 4"
Suzuki Wagon R,Manual,12.1,"Alloy Rims, Sunroof, Rear Camera, Airbags, ABS, Power Windows, Seating Capacity: 7"
Hyundai Tucson,Oriel,16.9,"Rear Camera, ABS, Touchscreen, Power Steering, Sunroof, AC, Power Windows, Seating Capacity: 5"
Proton Saga,Turbo,17.7,"Power Windows, Alloy Rims, Airbags, Touchscreen, Sunroof, AC, Seating Capacity: 7"
Honda City,Turbo,19.3,"Cruise Control, Sunroof, Power Windows, Rear Camera, Airbags, Seating Capacity: 5"
Honda Civic,1.5L,14.2,"Alloy Rims, Airbags, Cruise Control, ABS, Seating Capacity: 5"
Honda Civic,XLi,12.1,"Power Windows, Power Steering, ABS, Alloy Rims, Touchscreen, Rear Camera, Seating Capacity: 7"
Hyundai Tucson,Manual,11.5,"Alloy Rims, Power Windows, Power Steering, Rear Camera, AC, Sunroof, Airbags, Seating Capacity: 5"
Proton Saga,1.3L,14.5,"ABS, Sunroof, Power Windows, Touchscreen, Cruise Control, Airbags, Alloy Rims, Seating Capacity: 4"
Suzuki Wagon R,Standard,15.3,"ABS, Touchscreen, AC, Power Steering, Airbags, Seating Capacity: 4"
Honda Civic,Deluxe,10.1,"Power Steering, AC, Alloy Rims, Airbags, Seating Capacity: 5"
Changan Alsvin,1.5L,10.8,"AC, Airbags, Cruise Control, Alloy Rims, Touchscreen, Rear Camera, Sunroof, Seating Capacity: 5"
Proton Saga,1.5L,11.7,"Sunroof, Cruise Control, Airbags, Power Windows, Touchscreen, AC, Rear Camera, Seating Capacity: 7"
Kia Sportage,Automatic,10.8,"Sunroof, ABS, Touchscreen, Cruise Control, Rear Camera, Power Steering, Seating Capacity: 5"
Hyundai Tucson,Standard,16.2,"Alloy Rims, Rear Camera, Airbags, ABS, Sunroof, Seating Capacity: 5"
Suzuki Alto,Turbo,16.9,"AC, ABS, Rear Camera, Alloy Rims, Seating Capacity: 4"
Honda City,Turbo,14.8,"Power Windows, Power Steering, Cruise Control, Sunroof, Alloy Rims, Airbags, Seating Capacity: 4"
Suzuki Alto,XLi,19.6,"Alloy Rims, Touchscreen, Sunroof, Cruise Control, Rear Camera, Power Windows, Seating Capacity: 4"
Suzuki Alto,1.3L,16.4,"Power Windows, ABS, Touchscreen, Sunroof, Airbags, Rear Camera, Seating Capacity: 4"
Suzuki Alto,GLi,16.3,"Sunroof, Alloy Rims, Rear Camera, ABS, Touchscreen, Cruise Control, Seating Capacity: 4"
Changan Alsvin,Automatic,12.3,"Sunroof, Airbags, Cruise Control, Touchscreen, Seating Capacity: 7"
Kia Sportage,1.3L,12.8,"Power Steering, Power Windows, Cruise Control, ABS, Airbags, Alloy Rims, Seating Capacity: 4"
Suzuki Alto,Standard,10.8,"Cruise Control, Power Windows, Airbags, Touchscreen, Seating Capacity: 4"
Hyundai Tucson,Oriel,19.4,"AC, Rear Camera, Alloy Rims, ABS, Seating Capacity: 4"
Suzuki Alto,Deluxe,11.3,"Airbags, Alloy Rims, ABS, Power Windows, Seating Capacity: 5"
Suzuki Wagon R,1.5L,12.5,"Touchscreen, Rear Camera, AC, Alloy Rims, Seating Capacity: 7"
Proton Saga,Manual,10.2,"Cruise Control, Touchscreen, Alloy Rims, ABS, Power Windows, Sunroof, Seating Capacity: 4"
Suzuki Wagon R,Deluxe,18.2,"Touchscreen, Rear Camera, Alloy Rims, Sunroof, AC, Power Steering, Seating Capacity: 4"
Toyota Corolla,Turbo,19.6,"Sunroof, Cruise Control, Power Windows, Rear Camera, Seating Capacity: 5"
Suzuki Alto,Oriel,17.3,"Sunroof, Power Steering, AC, Touchscreen, Alloy Rims, Seating Capacity: 4"
Hyundai Tucson,XLi,17.8,"AC, Power Windows, Power Steering, Cruise Control, Seating Capacity: 4"
Proton Saga,XLi,10.8,"Rear Camera, AC, Sunroof, Airbags, Cruise Control, Seating Capacity: 7"
Honda Civic,Automatic,17.6,"AC, Power Steering, Rear Camera, Touchscreen, Sunroof, ABS, Seating Capacity: 7"
Proton Saga,1.5L,16.4,"Power Windows, ABS, Cruise Control, AC, Seating Capacity: 4"
Proton Saga,Standard,16.5,"Cruise Control, Touchscreen, Power Steering, AC, Power Windows, Seating Capacity: 7"
Kia Sportage,1.5L,11.1,"Touchscreen, ABS, Airbags, AC, Seating Capacity: 5"
